epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
50,513.221,0.46735,0.62739,0.79124,0.9613,0.63579,0.68717,0.74267,0.65968,0.63579,0.68717,0.74842,0.6648,0.52445,0.77344,0.97589,1.11154,0.00084575,0.00084575,0.00084575
51,522.246,0.46079,0.567,0.82712,0.95987,0.53157,0.8364,0.71679,0.61808,0.53157,0.8364,0.7187,0.63348,0.56335,0.81629,0.91496,1.14546,0.0008375,0.0008375,0.0008375
52,531.245,0.49011,0.60024,0.8517,0.96163,0.63982,0.6875,0.6776,0.61233,0.63982,0.6875,0.67833,0.62315,0.535,0.73466,1.29411,1.10383,0.00082925,0.00082925,0.00082925
53,540.18,0.45584,0.67231,0.82877,0.9434,0.6999,0.64596,0.63448,0.56593,0.6999,0.64596,0.63792,0.57482,0.53319,0.67545,1.30038,1.0984,0.000821,0.000821,0.000821
54,549.289,0.44674,0.64924,0.78067,0.93961,0.61545,0.74669,0.69695,0.63001,0.61545,0.74669,0.69978,0.64376,0.47152,0.67486,1.03695,1.056,0.00081275,0.00081275,0.00081275
55,558.198,0.44532,0.55355,0.75148,0.93524,0.55777,0.71621,0.67618,0.623,0.55777,0.71621,0.68038,0.63494,0.47623,0.69943,1.22439,1.05585,0.0008045,0.0008045,0.0008045
56,567.149,0.43577,0.57047,0.73631,0.95101,0.61958,0.77954,0.66543,0.60533,0.61958,0.77954,0.67221,0.61269,0.46431,0.81409,1.07046,1.08235,0.00079625,0.00079625,0.00079625
57,576.089,0.43043,0.57054,0.72998,0.93653,0.55353,0.74578,0.67112,0.60834,0.55353,0.74578,0.67707,0.60965,0.46145,0.78767,1.1445,1.04803,0.000788,0.000788,0.000788
58,585.021,0.4111,0.54801,0.66705,0.92379,0.59317,0.74496,0.68119,0.61644,0.59317,0.74496,0.68149,0.61893,0.45948,0.75243,1.0343,1.063,0.00077975,0.00077975,0.00077975
59,593.964,0.41094,0.50426,0.65696,0.9154,0.58749,0.75444,0.66752,0.60264,0.58749,0.75444,0.66752,0.61527,0.46579,0.68154,1.08036,1.04136,0.0007715,0.0007715,0.0007715
60,602.955,0.4115,0.57338,0.6468,0.92062,0.75054,0.74275,0.78941,0.7077,0.75054,0.74275,0.78988,0.71351,0.4922,0.71636,0.96688,1.06372,0.00076325,0.00076325,0.00076325
61,612.315,0.44997,0.56458,0.73323,0.94001,0.54959,0.7577,0.67843,0.60247,0.54959,0.7577,0.6826,0.62015,0.53138,0.65816,1.11257,1.10735,0.000755,0.000755,0.000755
