epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
52,2192.99,0.56404,0.68749,0.58127,1.01286,0.79569,0.81735,0.87244,0.76578,0.79397,0.8148,0.86792,0.77339,0.52218,0.57853,0.61328,1.05314,0.000934438,0.000934438,0.000934438
53,2228.86,0.56416,0.69318,0.57928,1.01695,0.78136,0.83528,0.85082,0.73714,0.78206,0.83232,0.84737,0.75499,0.55006,0.67132,0.57848,1.07554,0.00092825,0.00092825,0.00092825
54,2264.34,0.5696,0.70644,0.59249,1.01094,0.76174,0.87297,0.86901,0.75453,0.76174,0.87297,0.86579,0.76322,0.53794,0.6372,0.57335,1.07551,0.000922063,0.000922063,0.000922063
55,2299.85,0.55513,0.68209,0.5655,1.00685,0.77747,0.83024,0.8494,0.7327,0.77747,0.83024,0.84762,0.75692,0.54857,0.55654,0.59941,1.07451,0.000915875,0.000915875,0.000915875
56,2335.42,0.55282,0.69127,0.56131,1.00311,0.77523,0.8549,0.85894,0.74313,0.77523,0.8549,0.85458,0.76221,0.53833,0.69362,0.59073,1.05568,0.000909688,0.000909688,0.000909688
57,2371.32,0.56037,0.69873,0.57957,0.99972,0.76099,0.86961,0.85255,0.7438,0.75674,0.86489,0.84607,0.75486,0.53886,0.69559,0.60798,1.06989,0.0009035,0.0009035,0.0009035
58,2407.04,0.53814,0.6669,0.5614,1.00087,0.80315,0.75293,0.86244,0.75502,0.80315,0.75293,0.85774,0.76315,0.52187,0.66126,0.5904,1.05954,0.000897313,0.000897313,0.000897313
59,2442.54,0.54789,0.69603,0.56299,1.00362,0.79684,0.79651,0.84637,0.7317,0.79684,0.79651,0.84269,0.74313,0.54089,0.57991,0.6357,1.07539,0.000891125,0.000891125,0.000891125
60,2478.02,0.54343,0.63631,0.54073,0.99336,0.77153,0.8122,0.87934,0.76156,0.77153,0.8122,0.87584,0.76826,0.55452,0.66164,0.59409,1.08101,0.000884938,0.000884938,0.000884938
61,2513.48,0.54431,0.68816,0.53862,0.99714,0.79126,0.8342,0.85188,0.74361,0.79126,0.8342,0.85035,0.75962,0.53635,0.62748,0.58382,1.06103,0.00087875,0.00087875,0.00087875
62,2548.89,0.53975,0.66531,0.5284,0.98661,0.81924,0.8016,0.86278,0.76365,0.81924,0.8016,0.86052,0.76944,0.51818,0.60557,0.58638,1.04346,0.000872563,0.000872563,0.000872563
63,2584.49,0.54666,0.68154,0.54027,0.9963,0.77687,0.78952,0.85134,0.74169,0.77687,0.78952,0.84931,0.75556,0.53529,0.62688,0.58366,1.04845,0.000866375,0.000866375,0.000866375
64,2620.03,0.54142,0.67086,0.55632,0.99375,0.80822,0.79718,0.85742,0.73915,0.80649,0.79462,0.85386,0.76025,0.55605,0.55142,0.64516,1.06582,0.000860188,0.000860188,0.000860188
65,2655.66,0.53452,0.65712,0.54656,0.98483,0.81686,0.79642,0.8632,0.75714,0.81686,0.79642,0.86053,0.76512,0.53851,0.63866,0.58685,1.07073,0.000854,0.000854,0.000854
66,2691.24,0.54371,0.66798,0.52994,0.99666,0.81648,0.81728,0.87475,0.76578,0.81648,0.81728,0.86931,0.77656,0.53485,0.61018,0.5911,1.0613,0.000847813,0.000847813,0.000847813
67,2726.94,0.53506,0.66315,0.52023,0.99462,0.7937,0.83548,0.87847,0.76802,0.7937,0.83548,0.87476,0.77418,0.52184,0.63943,0.52961,1.05268,0.000841625,0.000841625,0.000841625
68,2762.53,0.55483,0.64557,0.53048,1.01273,0.76371,0.82925,0.87237,0.76541,0.76371,0.82925,0.86831,0.76997,0.52625,0.66829,0.58278,1.06542,0.000835438,0.000835438,0.000835438
69,2798.16,0.53475,0.66715,0.52685,0.98192,0.8228,0.81232,0.86951,0.76503,0.8228,0.81232,0.8671,0.76507,0.51443,0.63006,0.58011,1.04168,0.00082925,0.00082925,0.00082925
70,2833.77,0.52315,0.65098,0.50304,0.98588,0.77231,0.8153,0.86002,0.7522,0.77231,0.8153,0.85706,0.75244,0.5314,0.63423,0.58949,1.06159,0.000823063,0.000823063,0.000823063
